personid,age,hisp,PriceCategory,married,MyBestBuy,hhincome,appliances,Warranty,familysize,productgeneration,newcustomer,weekend
59255010,60,0,12,0,0,3.4560001,0,0,2,7,1,0
79358010,65,0,10,0,0,3.576,0,1,1,6,1,0
44205020,60,0,13,0,0,3.5999999,0,1,2,9,1,0
43494020,63,1,3,1,0,3.648,0,0,4,3,1,0
31126010,65,0,17,1,0,3.6719999,1,0,4,9,1,1
82896020,66,1,12,0,1,3.72,0,0,1,7,1,1
57915010,58,0,11,0,0,3.8039999,0,1,2,7,1,0
78957010,59,0,12,1,0,3.8039999,1,1,3,7,0,0
53302010,67,0,12,0,1,3.816,1,1,2,8,0,0
86221030,53,0,12,1,0,3.8399999,0,0,4,7,0,1
86221020,59,0,8,1,0,3.8399999,0,1,4,5,1,1
48135010,68,1,5,0,1,3.9119999,1,0,2,3,1,1
83400010,67,0,12,0,1,3.96,0,0,1,8,1,0
76583010,67,0,10,0,0,4.0320001,1,0,2,7,0,0
52666010,66,0,12,0,1,4.0560002,1,1,2,7,1,1
33214010,65,0,12,1,1,4.0560002,1,1,3,7,1,0
12178010,64,0,9,0,0,4.1880002,0,1,2,7,1,0
74372020,66,0,12,0,1,4.2480001,1,0,2,8,1,0
54169020,67,1,3,1,1,4.3200002,1,1,4,3,0,0
44509010,65,0,12,0,1,4.4889998,1,1,2,7,1,1
48999010,65,0,8,0,1,4.5,0,0,1,6,0,0
38934010,63,0,12,1,0,4.5240002,0,1,4,8,1,0
56560010,65,0,12,0,1,4.572,0,1,2,7,1,0
85235010,61,0,9,0,0,4.632,0,0,1,6,1,0
53326010,66,0,13,0,1,4.7160001,1,0,2,9,0,0
20917010,62,0,12,0,1,4.7639999,1,0,1,7,1,0
40326010,60,0,11,0,0,4.8000002,0,0,2,6,1,0
79050010,69,0,6,0,0,4.8000002,1,0,2,5,1,1
85926020,63,0,8,1,0,4.8959999,0,0,4,6,1,0
85877010,67,0,8,0,1,4.9580002,0,0,1,6,1,1
44169020,66,0,10,0,0,4.9640002,1,1,2,7,1,0
60502010,68,0,12,0,1,4.98,1,0,2,7,1,0
79326020,66,0,12,0,0,4.9920001,0,0,1,7,1,0
61298010,61,0,10,0,0,5.0440001,0,1,1,6,1,0
59760010,59,0,9,0,1,5.1079998,1,1,1,6,1,1
57339010,60,0,12,0,0,5.1859999,1,1,2,7,1,0
51348020,66,0,10,0,0,5.2540002,1,1,2,6,0,0
57921010,67,0,5,0,0,5.3039999,0,0,1,5,0,0
80413010,67,1,3,0,1,5.3280001,1,0,1,2,1,0
74521010,62,0,8,0,0,5.3280001,0,0,2,5,1,0
51549040,76,0,1,1,0,5.4000001,0,1,4,2,1,0
59465010,65,0,11,0,0,5.4000001,0,1,2,7,0,0
56617010,69,0,12,0,1,5.4239998,0,1,2,7,1,0
72134010,66,0,12,0,0,5.461,0,1,1,7,0,0
80299010,62,0,5,0,0,5.5320001,0,0,1,4,1,0
57170010,67,0,9,0,0,5.5440001,1,0,2,5,1,0
14670010,69,0,12,0,0,5.5799999,0,0,2,7,1,1
60028010,59,0,12,0,0,5.6040001,1,0,2,8,1,0
79955010,68,0,13,0,0,5.664,0,1,1,7,0,0
23901010,68,0,17,0,1,5.664,1,0,1,9,0,0
48314030,69,0,17,1,1,5.6690001,1,1,3,9,1,1
16116010,63,0,10,1,1,5.6880002,0,1,4,7,1,0
21873010,67,0,8,0,1,5.724,0,1,1,6,1,1
81214010,66,0,11,0,1,5.7360001,0,1,2,7,0,0
49608010,69,0,8,1,1,5.7600002,0,0,4,5,0,1
83313010,67,0,15,0,0,5.8200002,1,0,2,10,1,0
38509020,67,0,14,1,0,5.8200002,1,0,3,8,1,1
23698010,68,0,7,0,1,5.842,1,1,1,4,1,1
83547010,67,0,12,0,1,5.8559999,1,1,2,8,0,1
11575020,67,0,14,1,0,5.8759999,1,0,3,8,1,1
60005010,68,0,0,0,1,5.9039998,0,0,1,2,0,1
61352040,79,0,0,1,1,5.9520001,1,1,4,1,1,1
61352010,62,0,8,1,0,5.9520001,0,1,3,5,1,0
59934010,68,0,14,0,1,5.9759998,1,0,1,8,0,0
60084010,65,0,10,0,0,5.9879999,0,0,1,7,1,0
57408010,69,0,12,0,1,5.9879999,0,1,1,8,1,0
60529020,60,0,11,1,0,6,0,1,3,8,0,1
51698010,65,0,1,0,0,6,0,1,1,1,1,1
12666010,63,0,12,0,0,6,0,1,1,7,0,0
22970010,68,0,10,0,0,6,1,1,1,6,1,1
51111010,60,0,10,1,0,6,0,0,3,7,1,0
61160010,62,0,12,0,0,6,1,0,1,7,1,0
16681010,62,0,12,0,1,6,1,1,2,7,1,1
15889010,60,0,8,1,1,6,0,1,3,6,0,1
65186010,63,1,4,1,0,6.0120001,0,0,3,4,0,0
65186040,73,1,0,1,1,6.0120001,0,0,4,2,1,0
41977010,69,1,8,1,1,6.0359998,1,1,4,5,1,1
40560010,65,0,12,0,0,6.0359998,1,0,1,8,1,0
37911010,59,0,12,0,0,6.1079998,0,0,2,8,1,1
76916010,65,0,9,0,0,6.1199999,0,1,2,5,1,1
86206010,65,0,11,0,0,6.1199999,0,1,1,7,1,1
48681010,65,0,8,0,0,6.1440001,0,0,1,5,0,0
51065010,61,0,3,0,0,6.1440001,0,0,2,2,0,0
43342010,60,1,10,0,0,6.1440001,0,0,1,7,1,0
43560010,65,1,1,0,0,6.1560001,0,0,1,3,0,0
83922010,68,0,12,0,1,6.1719999,0,0,2,8,1,0
23283010,67,0,6,0,0,6.1919999,0,0,1,5,1,0
36708020,63,0,5,0,0,6.2399998,1,0,2,4,1,0
54965010,67,0,14,0,1,6.2639999,0,0,1,9,1,0
66006010,66,1,2,0,0,6.2639999,0,0,2,2,0,0
57472010,68,0,10,0,0,6.2880001,0,1,2,7,1,0
30229010,66,0,12,0,1,6.3239999,0,1,2,8,0,1
38622010,61,0,12,0,0,6.336,0,0,2,8,0,0
79479010,67,0,8,0,0,6.336,0,1,2,5,0,0
80324010,60,1,4,0,0,6.336,0,0,1,3,0,0
64992020,65,1,10,0,1,6.336,1,0,2,7,1,0
59394010,65,0,7,0,0,6.348,0,0,2,4,1,0
65996010,67,1,3,0,0,6.3600001,0,0,2,3,0,1
65170010,67,1,6,1,1,6.3600001,1,0,4,5,1,0
19058010,66,1,6,0,0,6.3720002,1,0,1,4,0,1
20394010,67,1,6,0,0,6.3839998,1,0,1,5,0,0
51373010,67,0,7,0,1,6.3839998,0,1,2,5,1,0
39648010,68,0,6,0,0,6.3839998,0,0,1,5,1,0
51378010,68,0,9,0,0,6.3839998,0,0,2,7,0,0
76284010,67,0,10,0,0,6.3839998,1,0,1,7,1,1
56082010,68,0,10,0,0,6.3839998,0,1,2,7,1,1
13242010,63,0,11,0,0,6.3839998,0,0,1,7,1,1
22979010,63,0,0,0,0,6.3839998,0,0,2,2,1,0
25237010,60,0,2,0,0,6.3839998,0,0,2,3,1,1
85548010,66,0,9,0,1,6.3959999,0,1,1,7,1,0
81344010,60,0,11,0,0,6.4200001,0,0,2,8,1,1
24161010,68,1,7,0,1,6.4559999,0,0,1,5,1,1
87861010,67,1,2,0,0,6.4559999,0,0,1,2,1,1
57168010,64,0,8,0,0,6.4640002,1,0,2,5,0,0
18216010,65,1,17,1,1,6.4710002,0,1,4,9,1,1
59418010,60,0,12,0,0,6.5040002,0,0,1,8,0,0
17458010,67,0,12,0,0,6.5279999,0,0,2,8,1,1
91297010,58,0,10,0,1,6.5279999,1,0,1,7,0,1
13426010,68,0,12,0,0,6.54,0,1,1,7,0,0
49279010,68,0,8,0,0,6.552,0,0,1,6,1,0
44959010,67,0,6,0,1,6.5640001,0,0,2,5,1,1
50642010,63,0,9,0,0,6.585,0,0,1,7,1,0
23876010,61,0,10,0,0,6.5879998,0,1,1,6,0,0
79101010,65,0,6,0,1,6.5999999,1,1,1,4,1,0
86192010,61,0,7,0,0,6.612,0,1,1,6,1,1
61261020,66,0,5,0,0,6.6240001,0,0,1,4,1,0
44296010,64,0,12,0,1,6.6279998,1,0,2,7,1,1
79557010,67,1,12,1,1,6.6479998,0,1,3,8,0,1
17642010,67,0,8,0,1,6.6599998,1,1,1,6,1,0
25245010,67,0,10,0,1,6.6599998,1,1,1,7,0,1
51510010,65,0,14,0,0,6.6599998,1,0,2,9,1,0
41754010,65,0,11,0,0,6.6719999,0,0,1,8,1,0
30891010,68,0,8,0,1,6.6719999,1,0,1,5,1,1
17970010,67,0,11,1,1,6.6799998,1,1,4,7,0,0
21645010,66,0,12,0,1,6.6820002,0,1,1,8,1,0
52399010,68,0,3,0,0,6.6960001,0,0,2,3,0,0
12394010,66,0,10,0,0,6.7059999,0,0,1,7,1,1
60716010,69,0,12,0,1,6.7080002,1,0,2,8,1,0
78886010,62,0,12,0,0,6.7199998,1,0,2,8,0,0
85504010,67,1,8,0,0,6.756,0,0,2,6,1,0
37907010,62,0,11,0,0,6.756,0,0,2,6,1,0
37606010,66,0,12,0,1,6.7680001,0,1,1,8,1,1
78309010,66,0,12,0,1,6.7680001,0,1,2,7,1,1
87840020,66,1,6,1,1,6.7919998,0,0,4,5,1,0
56610010,69,0,9,0,1,6.7940001,1,0,2,6,1,0
43461010,66,1,3,0,0,6.8000002,1,0,2,2,1,0
80583010,61,0,11,0,0,6.8039999,0,0,2,8,0,0
17841010,68,0,10,0,1,6.8039999,0,1,1,6,1,0
65182030,70,1,4,1,1,6.8400002,0,0,3,3,1,0
23830010,68,0,10,0,1,6.8920002,0,0,1,6,1,0
22174010,68,0,8,0,1,6.9239998,1,1,2,6,1,0
60518010,67,0,10,0,1,6.9239998,0,1,2,6,0,0
86257010,59,0,7,1,0,6.9569998,1,1,3,5,1,1
52703010,61,0,11,1,0,6.9720001,0,1,3,8,1,0
74797020,68,1,3,0,1,6.9720001,0,0,2,4,1,0
52703040,56,0,10,1,0,6.9720001,0,1,3,7,0,1
42263010,69,0,14,0,0,7,1,0,1,8,0,0
41906010,68,0,12,0,1,7.0320001,1,0,2,8,1,1
79902010,67,0,9,0,1,7.152,0,0,1,6,1,1
25509010,65,0,8,0,1,7.1880002,0,0,2,6,0,0
58828010,68,0,12,0,1,7.1900001,0,0,2,8,1,1
84549010,64,0,17,0,1,7.1999998,0,0,2,10,1,0
30248020,67,1,8,1,1,7.1999998,1,1,4,5,1,1
13257010,61,0,12,0,0,7.1999998,0,1,2,7,0,0
72436010,60,1,12,0,0,7.1999998,1,0,2,7,1,0
58592020,68,1,12,1,1,7.1999998,1,1,3,7,1,0
81388010,63,0,11,0,0,7.1999998,0,0,2,6,1,0
21368010,59,0,14,0,0,7.244,1,0,1,8,0,0
82494010,67,0,12,0,1,7.2480001,0,1,1,8,1,0
76301010,67,0,9,0,1,7.3280001,1,0,2,7,1,1
80200030,70,0,11,0,1,7.3439999,0,1,2,8,1,1
85569020,67,0,6,1,1,7.3800001,0,0,3,5,0,0
71179010,66,1,6,0,0,7.3920002,0,0,2,4,1,0
23264010,65,1,2,0,0,7.4159999,0,0,2,3,1,0
84717010,67,0,10,0,1,7.428,0,0,1,7,0,0
43362010,67,1,3,0,0,7.4759998,1,0,2,3,1,0
50392010,66,0,10,0,1,7.5300002,0,1,1,6,1,0
64739010,63,1,10,0,0,7.533,0,0,2,6,1,1
44679010,64,0,12,0,0,7.5599999,0,0,1,7,1,0
84835020,68,0,12,1,1,7.5599999,1,1,3,7,1,1
48410010,62,0,12,0,0,7.572,0,0,2,8,1,0
14674010,66,0,9,0,0,7.6560001,0,0,1,5,1,1
52537010,61,0,3,0,0,7.6560001,0,0,1,4,1,1
21835020,68,0,7,1,1,7.6799998,0,1,4,4,1,0
71611010,67,0,10,0,1,7.6919999,0,1,2,6,0,0
85000010,66,0,4,1,0,7.6999998,1,1,3,3,1,0
85000040,69,0,1,1,1,7.6999998,0,0,4,1,0,0
81662010,68,1,4,1,1,7.6999998,1,1,3,3,0,0
77058010,68,0,8,0,1,7.704,1,0,1,6,1,1
17459010,61,0,13,0,0,7.743,1,0,2,8,1,0
39973010,67,0,12,0,0,7.7639999,1,0,1,7,1,0
60695010,67,0,10,0,0,7.7880001,0,0,1,6,1,0
59817010,66,0,12,0,1,7.8000002,1,0,1,7,1,0
98121010,66,0,8,0,1,7.8099999,1,1,1,6,1,0
86314010,67,0,11,0,1,7.848,1,0,1,8,0,1
47664020,60,0,9,0,0,7.8600001,0,0,1,5,1,1
12179010,69,0,8,0,0,7.8959999,0,0,2,5,0,1
85971040,74,0,14,0,1,7.9120002,1,0,1,9,1,1
31766030,75,1,0,1,1,7.9200001,1,1,4,1,1,0
58850010,68,0,10,0,1,7.928,1,1,1,6,1,1
48914010,66,0,11,0,1,7.9559999,1,0,1,6,1,1
79496010,63,1,10,0,0,7.973,0,0,2,6,1,0
86124010,66,0,10,0,1,7.98,0,0,1,7,0,0
76797010,67,0,12,0,1,7.9920001,0,0,1,8,0,1
15216010,66,0,11,0,1,8.04,0,1,1,6,1,1
76277020,68,0,3,0,1,8.052,0,0,2,3,0,0
51075010,64,0,10,0,0,8.0649996,0,1,1,6,1,1
87133010,65,0,16,0,1,8.0959997,0,0,2,10,1,1
21081010,68,0,7,0,0,8.1120005,1,1,2,4,1,1
61143010,67,0,10,0,0,8.1359997,0,0,2,7,1,0
63262010,66,1,11,0,0,8.1359997,1,1,2,6,1,0
79268010,59,0,10,0,0,8.1719999,0,0,1,7,1,1
59646030,78,0,0,0,1,8.1960001,1,1,2,1,1,0
79666010,66,0,13,0,1,8.1999998,1,0,1,9,1,0
65212010,66,1,3,1,0,8.2080002,0,0,4,3,1,1
23319010,67,0,5,0,0,8.2290001,0,0,2,4,1,0
58900010,59,0,12,0,0,8.2440004,0,0,2,7,1,1
72803010,69,0,12,0,1,8.2799997,1,0,2,7,0,1
22109020,67,0,2,0,1,8.2919998,0,0,1,2,1,0
46769040,75,1,0,1,1,8.3039999,0,0,4,2,1,1
19154040,76,1,0,1,1,8.3520002,0,0,4,1,1,1
65834010,68,1,8,0,1,8.3999996,1,0,1,6,0,1
13706010,68,0,12,0,1,8.3999996,1,0,2,8,1,0
76550010,60,0,14,0,0,8.3999996,1,0,1,9,0,0
52112020,67,0,7,0,0,8.3999996,1,0,1,4,1,1
24412040,71,1,8,0,1,8.3999996,0,0,1,5,1,0
14223010,68,0,11,0,1,8.3999996,0,0,1,7,0,1
43601010,65,1,9,1,1,8.3999996,0,0,3,5,1,0
71438020,62,0,12,0,0,8.3999996,1,1,1,7,1,1
65025010,67,1,4,1,1,8.3999996,0,0,3,4,1,1
54114020,63,0,14,0,1,8.408,1,1,1,9,0,0
42294020,68,1,6,1,0,8.4239998,1,1,3,4,0,0
42294030,72,1,15,1,1,8.4239998,1,1,3,10,1,0
80655010,64,0,12,0,0,8.4239998,1,0,2,8,1,1
80586010,64,0,12,0,0,8.4359999,0,1,2,8,0,1
23913010,64,0,10,0,0,8.4519997,0,1,2,7,1,0
34235010,68,0,13,0,1,8.4569998,1,0,2,8,0,0
82648040,69,1,0,1,0,8.4720001,0,0,4,1,1,0
71788010,68,1,13,0,1,8.4840002,1,0,1,9,1,1
25510020,64,0,10,1,1,8.5439997,0,0,3,7,0,0
33121010,65,0,12,0,0,8.5559998,0,0,1,7,0,1
46754010,67,0,11,0,1,8.5559998,0,1,2,6,1,1
58459010,62,0,10,0,0,8.5799999,0,0,2,7,0,0
48551010,67,0,15,0,0,8.5889997,0,1,2,8,1,1
43926010,59,0,8,1,0,8.6000004,0,1,3,5,1,1
11467010,67,0,5,0,1,8.6759996,1,1,1,4,0,0
41777010,69,0,2,0,1,8.6879997,0,0,1,3,0,1
85730010,68,0,9,0,0,8.6999998,0,0,2,5,1,0
60114010,63,0,8,0,0,8.7119999,0,0,2,5,1,0
76462010,66,0,14,0,1,8.724,1,1,1,8,0,1
37640040,74,0,8,1,1,8.7959995,1,1,3,6,1,0
58802010,67,0,11,0,0,8.7969999,0,0,1,6,1,0
60072010,66,0,10,0,1,8.8079996,0,0,1,7,1,1
43813020,63,0,9,1,1,8.8199997,0,1,3,6,1,0
82562010,69,0,17,0,0,8.8199997,1,0,1,10,1,0
23430010,58,0,11,0,0,8.8199997,0,0,2,6,0,1
22973010,65,0,8,0,0,8.8199997,0,0,1,5,0,1
41901010,67,0,9,0,1,8.8559999,1,0,1,7,1,1
58907010,64,0,9,0,0,8.8920002,0,1,1,6,1,0
71463010,67,0,9,0,1,8.9280005,0,0,2,5,1,0
58678010,66,0,5,1,0,8.9399996,0,1,4,4,0,1
71795010,67,1,6,1,1,8.9399996,0,0,4,5,1,0
11186010,58,0,12,0,0,8.9639997,0,0,1,7,1,0
36915010,65,0,15,0,1,8.9759998,0,0,1,9,0,1
64891010,68,1,2,1,1,8.9879999,1,0,3,3,1,1
43628010,67,1,2,1,0,8.9879999,0,1,3,2,1,1
84463010,64,0,14,0,0,8.9960003,0,0,1,8,1,0
58260010,66,0,15,0,1,9,1,0,2,10,0,0
30681010,66,0,12,1,0,9.0299997,0,0,4,7,1,0
45156020,67,0,8,1,1,9.0600004,1,0,3,5,1,0
49224040,75,0,11,1,0,9.0600004,0,1,3,7,1,1
49224010,63,0,9,1,0,9.0600004,0,1,4,6,0,1
87841020,67,1,4,1,1,9.0719995,1,0,3,4,1,0
11423010,67,1,12,0,0,9.0719995,0,0,1,8,0,0
19351010,66,0,10,0,1,9.0839996,1,1,2,7,0,0
45183010,68,0,10,0,0,9.1000004,1,1,1,6,1,0
60647010,69,0,12,0,0,9.1120005,1,1,2,8,1,1
23015010,68,0,12,0,1,9.1199999,1,0,1,7,1,1
43520030,69,1,8,1,0,9.2040005,1,1,3,6,1,1
43520020,65,1,3,1,0,9.2040005,0,0,4,3,0,0
24218040,78,1,7,1,0,9.2080002,0,0,3,4,0,1
46316010,69,0,12,0,0,9.2279997,1,0,2,7,1,0
22798010,61,0,12,0,1,9.2460003,1,1,1,7,0,1
45000020,60,0,1,1,1,9.2559996,0,0,4,1,1,1
41828020,65,0,11,0,1,9.276,0,1,2,8,1,1
83592020,63,0,9,0,0,9.2880001,0,0,1,6,1,1
59036010,60,0,12,0,1,9.3000002,1,1,2,8,1,1
34848010,58,0,13,0,0,9.3000002,0,1,1,8,1,1
82698010,68,1,6,0,1,9.3199997,1,1,2,5,1,0
88265020,66,1,6,1,0,9.3240004,0,0,3,5,1,1
88265030,70,1,4,1,0,9.3240004,0,0,4,3,1,0
58974020,66,0,12,1,1,9.3599997,1,0,3,8,0,0
80593010,65,0,12,0,1,9.3920002,1,1,1,8,1,0
20042010,59,0,4,0,0,9.3959999,0,1,2,3,1,0
86261010,62,0,10,0,0,9.408,1,1,2,6,1,0
43277020,67,0,12,0,1,9.408,0,1,1,7,1,0
44153010,67,0,8,1,1,9.4200001,0,0,4,6,0,0
44153040,75,0,8,1,1,9.4200001,0,0,3,5,1,1
38982010,59,0,14,0,0,9.4359999,1,1,1,9,0,1
54154020,68,1,12,1,1,9.4499998,1,0,3,7,1,0
59359010,59,0,7,1,0,9.4919996,0,1,4,5,0,1
86113040,71,0,6,1,1,9.5039997,1,1,4,4,1,0
20511010,65,0,13,0,1,9.5500002,1,0,1,8,1,0
16770010,67,0,13,0,1,9.5640001,1,1,2,7,1,1
16698010,67,0,14,0,0,9.5640001,0,1,2,9,1,0
50287010,66,0,8,0,0,9.5699997,1,1,1,6,1,1
41250010,66,0,6,0,0,9.6000004,0,1,2,4,0,0
82690030,74,1,8,1,0,9.6000004,1,1,4,6,0,1
22388020,60,0,6,1,0,9.6000004,1,1,3,4,1,0
30113010,64,1,12,0,1,9.6000004,0,0,2,8,1,0
52676020,65,0,9,1,1,9.6000004,0,1,3,5,1,0
52676010,60,0,8,1,0,9.6000004,1,1,3,6,0,0
14711010,60,0,10,1,0,9.6000004,1,1,3,6,1,0
82690020,67,1,1,1,1,9.6000004,1,1,4,1,1,0
44204010,62,0,8,0,0,9.6120005,0,1,1,6,1,1
61249010,59,0,11,0,0,9.6359997,0,1,2,6,1,1
65898010,67,1,4,1,0,9.6400003,1,1,4,4,1,0
51221010,64,0,11,0,0,9.7320004,1,0,2,6,1,0
56282010,61,0,14,0,0,9.7320004,0,1,1,8,0,0
86655030,57,1,16,0,0,9.7679996,0,1,2,10,1,0
30790010,60,0,11,0,0,9.776,0,0,2,7,1,1
47909010,65,0,12,0,1,9.7790003,0,0,2,8,1,1
57440040,77,0,3,1,1,9.7799997,1,1,3,4,1,1
57440010,68,0,10,1,0,9.7799997,0,1,4,6,1,1
48877010,65,0,6,0,1,9.7959995,0,0,2,4,1,0
18097010,66,0,11,0,0,9.8000002,1,0,2,7,1,0
50842010,68,0,12,0,1,9.8120003,1,0,2,8,0,1
18259010,65,1,7,0,0,9.8149996,0,0,1,5,1,0
53255030,79,0,7,1,1,9.8979998,0,1,3,6,0,0
83615010,67,0,8,0,1,9.9359999,1,1,1,6,1,0
60513010,65,0,12,0,1,9.948,0,0,2,8,1,0
47241010,66,0,5,1,0,9.9720001,0,1,3,4,0,0
50937010,59,0,8,0,0,10,1,1,2,5,1,1
52698010,67,0,12,0,0,10.044,1,0,2,7,1,1
44336020,61,0,10,1,0,10.056,0,0,3,7,0,1
30226020,63,0,12,1,0,10.068,1,1,4,8,0,0
33349010,69,0,12,0,0,10.076,1,1,1,7,0,0
22674010,68,0,12,0,1,10.08,1,1,1,7,1,0
41077010,66,0,12,1,1,10.1,0,1,3,8,1,0
11387020,69,0,10,0,0,10.104,1,1,1,7,1,0
78476040,56,0,8,0,0,10.14,0,1,1,6,0,0
80638010,67,0,12,0,1,10.2,0,1,2,7,0,1
86704010,65,1,10,0,1,10.224,0,0,2,7,1,1
32558010,68,0,12,0,1,10.26,0,0,1,7,0,0
16457010,69,0,8,0,1,10.26,0,1,2,5,1,0
12854010,65,0,9,0,0,10.272,0,0,2,5,1,1
75958010,68,0,12,0,1,10.284,0,0,2,7,0,0
86617010,68,0,12,1,1,10.34,1,0,4,8,1,0
73949010,69,0,9,0,1,10.344,1,1,1,6,1,0
88329010,64,1,13,0,1,10.356,1,0,1,9,0,1
19375010,65,0,10,0,1,10.356,1,0,1,6,1,0
50428020,65,0,9,0,0,10.392,1,0,1,5,1,1
54078010,68,1,11,0,1,10.392,1,1,1,7,1,1
43587020,67,1,2,1,0,10.392,0,0,3,2,1,0
31568010,65,1,11,0,1,10.409,1,1,1,7,1,0
52384010,66,0,10,0,1,10.476,0,0,2,7,1,0
73660020,66,0,12,1,0,10.5,1,1,4,7,1,1
52233010,68,0,4,0,1,10.5,1,1,2,3,1,0
73660030,83,0,10,1,1,10.5,0,1,4,7,1,0
32552010,68,0,12,0,1,10.532,1,1,2,7,0,0
32568010,65,0,12,0,1,10.56,0,0,1,8,0,0
43544010,63,1,8,1,0,10.568,0,0,3,5,1,1
22036010,67,0,12,0,0,10.608,0,0,2,8,0,1
81023010,66,0,13,0,1,10.621,1,1,1,8,1,0
24443040,71,0,11,1,1,10.668,0,1,3,6,1,0
24443010,66,0,13,1,1,10.668,0,0,4,9,1,1
22930020,67,0,12,0,1,10.68,1,1,2,7,1,0
83078010,68,0,12,0,1,10.704,1,1,1,8,1,0
84098030,82,0,8,0,1,10.72,1,0,2,5,1,0
77335020,65,0,12,0,0,10.744,1,0,2,8,1,0
59051020,67,0,12,0,0,10.776,1,0,2,7,1,1
50883010,66,0,12,1,1,10.78,1,1,4,8,0,1
50622020,64,0,13,0,0,10.788,1,0,1,7,0,1
63243040,71,1,0,1,0,10.788,0,0,3,1,1,1
71792030,72,0,12,1,1,10.8,1,1,3,7,1,1
74744020,66,0,12,1,1,10.8,1,1,3,7,1,0
82433010,67,0,14,0,1,10.8,1,1,2,9,0,0
74744010,67,0,9,1,1,10.8,1,1,3,7,1,0
14215030,71,0,14,0,1,10.824,1,0,2,8,1,0
19536010,65,0,14,1,1,10.856,1,0,3,9,1,0
56678010,65,0,14,0,1,10.86,1,1,1,9,0,1
72362010,67,0,12,0,1,10.872,1,1,1,8,1,0
43718010,66,0,7,0,1,10.896,1,0,1,6,1,1
87344010,66,0,12,0,1,10.92,1,1,2,8,0,1
82030010,68,0,12,0,1,10.92,1,1,2,7,1,0
10994010,68,0,11,0,1,10.932,0,0,2,6,1,1
15332040,71,0,9,0,1,10.94,0,0,1,5,0,1
65196020,68,1,9,0,0,11.028,0,0,1,5,1,1
11856010,68,0,7,0,0,11.028,0,1,1,6,1,0
83554030,76,0,10,1,1,11.052,0,1,4,7,1,0
85096020,68,0,12,0,1,11.1,1,1,1,7,0,1
52987020,65,0,9,1,0,11.112,0,0,4,6,1,0
52987010,66,0,8,1,1,11.112,0,1,3,5,0,0
